word,0,1,2,3,4
cky,-0.6560285,-0.7374065,0.5504754,1.9593508,0.9134254
dynamic,-0.88068104,-0.88253176,0.94579864,1.0809456,0.86897975
programming,-0.8028775,-0.7763887,1.0523475,1.301743,0.9928183
approach,-1.3616573,-0.088537954,-0.09011178,1.1398497,0.5113156
span,-0.5613576,-0.1772127,-0.956524,1.8842025,-1.0993042
parser,-1.2759967,0.22999842,-0.13354813,1.5531255,0.22374564
finding,-1.8385931,0.76510996,-0.54977804,0.030244363,0.6236532
transition,-0.8890896,-0.32738677,-0.23987266,1.6639063,-0.16610439
graph,-0.8687016,-0.9581438,-0.57133347,1.7397614,0.8388456
algorithm,-0.96534586,-0.71880597,0.31716928,0.5224939,-0.17193219
extract,-0.5283545,0.1077525,-0.65785515,0.72273296,-0.4534156
represent,0.31293985,-1.3406042,-0.73830986,1.1614671,-0.5918397
aspect,-0.37947384,-0.18632658,-0.89302886,0.46218246,0.45971832
temporally,0.22484225,-0.12914467,-1.1839676,0.8129307,-0.055399667
timebank,0.051414263,0.9185976,0.13610321,0.1511494,-1.3207581
temporal,0.6116196,0.040349934,-0.49372825,1.288096,0.30669552
analysis,-0.953815,0.4963642,-0.8755829,0.22578628,0.7429728
template,-0.23193532,0.053558704,-0.053989273,1.5202338,-0.5536939
label,-0.6375971,0.16251472,-1.3763461,0.6036286,-0.8196019
diathesis,-0.25839037,0.8995717,-2.584053,0.4692474,1.4306196
alternation,-0.24037424,0.81065243,-2.6893241,0.5091062,1.154
thematic,-0.014062386,-0.044982083,-1.9572752,1.4037727,1.2368038
proposition,0.61049974,0.916901,-0.59563625,1.546538,0.66319793
bank,0.37205228,0.735086,0.04515017,0.96125543,-0.8945471
framenet,-0.41069275,0.56569815,-1.0718807,0.95978844,0.90637314
selectional,-1.2857746,0.0744747,-2.1228113,0.030133337,1.038117
restriction,-0.26614195,-0.57592094,-1.682059,0.539256,1.5819429
primitive,-0.25163046,-0.37199187,-1.5508039,1.0400412,1.1529609
decomposition,-0.63845855,-0.8911981,-1.3722498,0.9122351,0.929883
predicate,0.1561384,-0.08942966,-1.9529736,1.1463562,0.7042455
deﬁne,-0.56413066,-1.0298218,-1.0019852,0.40332693,0.33504257
emotion,-0.58893645,-0.27796137,-1.6637397,-0.6011406,1.3281604
available,-0.4939657,0.26638973,0.56089777,-0.4295395,-1.0558734
create,-0.62510186,-0.47287256,-0.39520827,0.1367004,-1.3262217
human,-0.7076273,0.263646,-0.861519,-0.99736935,-0.15329024
semi,-2.7930744,0.5975644,-1.914726,0.16669309,-0.014335832
supervised,-2.6585917,-0.018976139,-1.4002403,0.098872,-0.2325414
induction,-1.6086276,-0.39759907,-1.6752245,1.753575,1.0902612
method,-1.4512993,-0.30672276,-0.45948583,0.0599867,0.03707338
centric,-1.6585935,1.0887285,-0.95113903,0.18635708,-0.69826645
frame,0.088936985,-1.0921061,-1.0814452,0.550758,0.9747201
phenomena,-0.5956334,1.2436774,-0.9314656,0.97846335,-0.02020575
background,-0.033883538,0.99820715,-0.51555073,0.09338294,-0.06614468
mention,-0.7765667,0.6134592,-1.3409245,1.123316,-1.4957602
detection,-0.9690981,0.9238541,-1.4166932,0.38018417,-0.703538
hand,-0.58666426,-0.14562395,-0.91981715,0.82171404,-0.24719252
build,-1.0145389,-0.24910693,-0.4492038,0.48483747,-0.09374446
rank,-1.3229395,-0.025061376,-1.8392619,0.181422,-0.96429497
winograd,-0.9190496,1.5813198,-1.4719086,-0.7237939,-0.16938965
schema,-1.1629741,1.6893009,-1.5582818,-0.68537,-0.08195046
gender,-0.4015027,1.2730147,-1.9919276,-0.35166132,-0.810003
centering,-1.909754,1.0539078,-0.7489878,1.4160823,0.2899109
